2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:25-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:26-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:26-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:26-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2026-02-25 15:29:26-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
