channel,time_s,E_x_v_per_m,baseline_m,deltaV_v,gradient_v_per_m
x_1m,136.0,1.4536869593422089e-08,1.0,-1.4536869593422089e-08,-1.4536869593422089e-08
x_1m,140.0,1.3511681799173873e-08,1.0,-1.3511681799173873e-08,-1.3511681799173873e-08
x_1m,144.0,1.2576725766504146e-08,1.0,-1.2576725766504146e-08,-1.2576725766504146e-08
x_1m,148.0,1.1722734708423116e-08,1.0,-1.1722734708423116e-08,-1.1722734708423116e-08
x_1m,152.0,1.094150107496334e-08,1.0,-1.094150107496334e-08,-1.094150107496334e-08
x_1m,156.0,1.0225747232707627e-08,1.0,-1.0225747232707627e-08,-1.0225747232707627e-08
x_1m,160.0,9.569012219902556e-09,1.0,-9.569012219902556e-09,-9.569012219902556e-09
x_1m,164.0,8.965552704563501e-09,1.0,-8.965552704563501e-09,-8.965552704563501e-09
x_1m,168.0,8.410256429734583e-09,1.0,-8.410256429734583e-09,-8.410256429734583e-09
x_1m,172.0,7.898566597591152e-09,1.0,-7.898566597591152e-09,-7.898566597591152e-09
x_1m,176.0,7.426415810729921e-09,1.0,-7.426415810729921e-09,-7.426415810729921e-09
x_1m,180.0,6.990168347845421e-09,1.0,-6.990168347845421e-09,-6.990168347845421e-09
x_1m,184.0,6.586569698233241e-09,1.0,-6.586569698233241e-09,-6.586569698233241e-09
x_1m,188.0,6.212702413427765e-09,1.0,-6.212702413427765e-09,-6.212702413427765e-09
x_1m,192.0,5.8659474543158215e-09,1.0,-5.8659474543158215e-09,-5.8659474543158215e-09
x_1m,196.0,5.543950318607664e-09,1.0,-5.543950318607664e-09,-5.543950318607664e-09
x_1m,200.0,5.244591327395431e-09,1.0,-5.244591327395431e-09,-5.244591327395431e-09
y_1m,-200.0,5.244591327395431e-09,1.0,-0.0,-0.0
y_1m,-196.0,5.543950318607664e-09,1.0,-0.0,-0.0
y_1m,-192.0,5.8659474543158215e-09,1.0,-0.0,-0.0
y_1m,-188.0,6.212702413427765e-09,1.0,-0.0,-0.0
y_1m,-184.0,6.586569698233241e-09,1.0,-0.0,-0.0
y_1m,-180.0,6.990168347845421e-09,1.0,-0.0,-0.0
y_1m,-176.0,7.426415810729921e-09,1.0,-0.0,-0.0
y_1m,-172.0,7.898566597591152e-09,1.0,-0.0,-0.0
y_1m,-168.0,8.410256429734583e-09,1.0,-0.0,-0.0
y_1m,-164.0,8.965552704563501e-09,1.0,-0.0,-0.0
y_1m,-160.0,9.569012219902556e-09,1.0,-0.0,-0.0
y_1m,-156.0,1.0225747232707627e-08,1.0,-0.0,-0.0
y_1m,-152.0,1.094150107496334e-08,1.0,-0.0,-0.0
y_1m,-148.0,1.1722734708423116e-08,1.0,-0.0,-0.0
y_1m,-144.0,1.2576725766504146e-08,1.0,-0.0,-0.0
y_1m,-140.0,1.3511681799173873e-08,1.0,-0.0,-0.0
y_1m,-136.0,1.4536869593422089e-08,1.0,-0.0,-0.0
y_1m,-132.0,1.5662762569328785e-08,1.0,-0.0,-0.0
y_1m,-128.0,1.6901208321100063e-08,1.0,-0.0,-0.0
y_1m,-124.0,1.8265618340401005e-08,1.0,-0.0,-0.0
y_1m,-120.0,1.9771181761588248e-08,1.0,-0.0,-0.0
y_1m,-116.0,2.143510451115935e-08,1.0,-0.0,-0.0
y_1m,-112.0,2.327687439162102e-08,1.0,-0.0,-0.0
y_1m,-108.0,2.5318551190617286e-08,1.0,-0.0,-0.0
y_1m,-104.0,2.758507860948806e-08,1.0,-0.0,-0.0
y_1m,-100.0,3.010461127797415e-08,1.0,-0.0,-0.0
y_1m,-96.0,3.2908844856028e-08,1.0,-0.0,-0.0
y_1m,-92.0,3.60333295448779e-08,1.0,-0.0,-0.0
y_1m,-88.0,3.951773636609155e-08,1.0,-0.0,-0.0
y_1m,-84.0,4.3406030238456664e-08,1.0,-0.0,-0.0
y_1m,-80.0,4.77464829275686e-08,1.0,-0.0,-0.0
y_1m,-76.0,5.259143103989547e-08,1.0,-0.0,-0.0
y_1m,-72.0,5.799664827921191e-08,1.0,-0.0,-0.0
y_1m,-68.0,6.402015685732226e-08,1.0,-0.0,-0.0
y_1m,-64.0,7.072025171862963e-08,1.0,-0.0,-0.0
y_1m,-60.0,7.815245799974879e-08,1.0,-0.0,-0.0
y_1m,-56.0,8.636509769464379e-08,1.0,-0.0,-0.0
y_1m,-52.0,9.53931257666402e-08,1.0,-0.0,-0.0
y_1m,-48.0,1.0524994150503182e-07,1.0,-0.0,-0.0
y_1m,-44.0,1.159170350654217e-07,1.0,-0.0,-0.0
y_1m,-40.0,1.2733165119705218e-07,1.0,-0.0,-0.0
y_1m,-36.0,1.393732003609914e-07,1.0,-0.0,-0.0
y_1m,-32.0,1.5184994824817004e-07,1.0,-0.0,-0.0
y_1m,-28.0,1.6448851058027083e-07,1.0,-0.0,-0.0
y_1m,-24.0,1.7692966343390174e-07,1.0,-0.0,-0.0
y_1m,-20.0,1.8873454539182632e-07,1.0,-0.0,-0.0
y_1m,-16.0,1.994049103029529e-07,1.0,-0.0,-0.0
y_1m,-12.0,2.0841915282665689e-07,1.0,-0.0,-0.0
y_1m,-8.0,2.1528223270229744e-07,1.0,-0.0,-0.0
y_1m,-4.0,2.195830199344669e-07,1.0,-0.0,-0.0
y_1m,0.0,2.2104853207207685e-07,1.0,-0.0,-0.0
y_1m,4.0,2.195830199344669e-07,1.0,-0.0,-0.0
y_1m,8.0,2.1528223270229744e-07,1.0,-0.0,-0.0
y_1m,12.0,2.0841915282665689e-07,1.0,-0.0,-0.0
