"distance_m","frequency_hz","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"3","30","0.673","-0.0121594161727472","-0.00520942399150424","-0.0152349054676037","0.0201765171571346","-0.00520942399150424"
"3","30","0.674","-0.0109362355170033","-0.00223268255233329","-0.0130881754127552","0.0172013503626287","-0.00223268255233329"
"3","30","0.675","-0.00932563326589007","0.000823152779341473","-0.0104777902188965","0.0140509467360465","0.000823152779341473"
"3","30","0.676","-0.00738466580710686","0.00384982751343155","-0.00749622408290825","0.0112048130938004","0.00384982751343155"
"3","30","0.677","-0.00518209288053637","0.00674012018855498","-0.00424910047159594","0.00950463895139574","0.00674012018855498"
"3","30","0.678","-0.00279594173017872","0.00939164074576167","-0.000851450357719665","0.00983591245221645","0.00939164074576167"
"3","30","0.679","-0.000310742950133173","0.0117104577474167","0.00257636280956338","0.0119945415569579","0.0117104577474167"
"3","30","0.68","0.00218546405383907","0.0136144259452069","0.00591290703989047","0.0150030435782388","0.0136144259452069"
"3","30","0.681","0.00460424990415746","0.0150360963165168","0.00903998359049375","0.0181384843064657","0.0150360963165168"
"3","30","0.682","0.00685992790620622","0.0159251054796792","0.0118468142155866","0.0210003476751191","0.0159251054796792"
"3","30","0.683","0.00887258954221088","0.01624995984188","0.0142339655409502","0.0233535824889506","0.01624995984188"
"3","30","0.684","0.0105709352703189","0.0159991512753846","0.0161168715407874","0.0250493724928222","0.0159991512753846"
"3","30","0.685","0.0118948003464141","0.0151815647986998","0.0174288293313447","0.0259948124994068","0.0151815647986998"
"3","30","0.686","0.0127972861901725","0.0138261638203642","0.0181233621538248","0.0261417213583845","0.0138261638203642"
"3","30","0.687","0.0132464217906515","0.01198096409576","0.0181758658367372","0.0254828038063869","0.01198096409576"
"3","30","0.688","0.0132262962952908","0.00971133274504214","0.0175844804109393","0.0240511714620818","0.00971133274504214"
"3","30","0.689","0.012737622659797","0.00709767259031827","0.016370155999971","0.0219227278112491","0.00709767259031827"
"3","30","0.69","0.011797712391332","0.00423257384558968","0.0145759106514831","0.019223888013276","0.00423257384558968"
"3","30","0.691","0.0104398622797415","0.00121753406226259","0.0122653064014536","0.0161527352090684","0.00121753406226259"
"3","30","0.692","0.00871217484217518","-0.00184063747221232","0.00952019755737501","0.0130354937887366","-0.00184063747221232"
"3","30","0.693","0.006675854267434","-0.00483360350659834","0.00643783096860173","0.010458318251005","-0.00483360350659834"
"3","30","0.694","0.00440303822707106","-0.00765533672700571","0.00312740100823257","0.00936864787998704","-0.00765533672700571"
"3","30","0.695","0.00197424236241188","-0.0102058758273472","-0.000293818691995939","0.0103992241889738","-0.0102058758273472"
"3","30","0.696","-0.000524492022179338","-0.0123948666884406","-0.00370462971857884","0.0129472813152924","-0.0123948666884406"
"3","30","0.697","-0.00300464601540359","-0.0141447632177268","-0.00698420239046578","0.0160586832335166","-0.0141447632177268"
"3","30","0.698","-0.00537835892558806","-0.0153935744582577","-0.0100163562107479","0.0191367779700493","-0.0153935744582577"
"3","30","0.699","-0.00756154078949207","-0.0160970606492517","-0.0126936756186833","0.0218499808093553","-0.0160970606492517"
"3","30","0.7","-0.00947685130117828","-0.0162303004416753","-0.0149213152394889","0.0239974792736215","-0.0162303004416753"
"3","30","0.701","-0.0110564396309059","-0.0157885737494559","-0.016620359829024","0.0254511351259646","-0.0157885737494559"
"3","30","0.702","-0.0122443480746021","-0.0147875289608851","-0.0177306198856579","0.0261336938466554","-0.0147875289608851"
"3","30","0.703","-0.0129984943834263","-0.0132626285866614","-0.0182127638933728","0.0260108235528873","-0.0132626285866614"
"3","30","0.704","-0.013292162548414","-0.0112678929827699","-0.0180497116603259","0.0250886246834202","-0.0112678929827699"
"3","30","0.705","-0.0131149492284147","-0.00887398665243887","-0.0172472393931615","0.0234140299618964","-0.00887398665243887"
"3","30","0.706","-0.0124731322936376","-0.00616571492088427","-0.0158337750720103","0.0210785080765033","-0.00616571492088427"
"3","30","0.707","-0.0113894484289703","-0.00323901966438563","-0.0138593913751212","0.018228919693477","-0.00323901966438563"
