"distance_m","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"3","0.08004","0.0070700429528506","-0.0220019665489963","-0.0249177330742866","0.0339847827849422","-0.0220019665489963"
"3","0.08005","-0.00137525266399561","-0.00855586180295041","-0.0257098798429997","0.0271310156946343","-0.00855586180295041"
"3","0.08006","-0.00989543809411871","-0.000607539007070165","-0.0247179322689857","0.0266320291073326","-0.000607539007070165"
"3","0.08007","-0.0162789955580246","0.00265055805364136","-0.0232082076998874","0.0284719521461915","0.00265055805364136"
"3","0.08008","-0.0196384025855569","0.00359081678412245","-0.0223272930579361","0.0299511074350266","0.00359081678412245"
"3","0.08009","-0.0205332545830048","0.00460562359739801","-0.0225495739368231","0.0308433071706594","0.00460562359739801"
"3","0.0801","-0.020394567544456","0.00683709579566949","-0.0235474328076096","0.0318930377366821","0.00683709579566949"
"3","0.08011","-0.0206100044966623","0.00981678457048091","-0.0245151960648292","0.0334983041772667","0.00981678457048091"
"3","0.08012","-0.021779440485446","0.0121042551997007","-0.0247292202688011","0.0351054320141691","0.0121042551997007"
"3","0.08013","-0.0235217755896936","0.012447740657769","-0.0240065339876727","0.0358403940892991","0.012447740657769"
"3","0.08014","-0.0248858200691805","0.010717364747734","-0.022796093451329","0.0354094312901707","0.010717364747734"
"3","0.08015","-0.0250754038143323","0.00802644158751716","-0.0218568531679119","0.0342187327558066","0.00802644158751716"
"3","0.08016","-0.0240309529759991","0.00595863397202","-0.0217208069329128","0.0329360816364676","0.00595863397202"
"3","0.08017","-0.0225068158223361","0.00536991262342074","-0.0222695809645553","0.0321142796335309","0.00536991262342074"
"3","0.08018","-0.0215879638940753","0.00551833917764964","-0.0226957886749224","0.031805519583057","0.00551833917764964"
"3","0.08019","-0.0219283820619897","0.0041237279115233","-0.0219051356892955","0.0312680994195572","0.0041237279115233"
"3","0.0802","-0.0231739649157522","-0.00155219871526852","-0.0191604213379831","0.030109196545528","-0.00155219871526852"
"3","0.08021","-0.0239495574753591","-0.0131079237703404","-0.0146161552139066","0.0309682250390879","-0.0131079237703404"
"3","0.08022","-0.022483545025556","-0.0297333787793653","-0.00943038634147068","0.0384514732761023","-0.0297333787793653"
"3","0.08023","-0.0175799663432195","-0.0480099724306442","-0.0053533299494297","0.0514069140385553","-0.0480099724306442"
"3","0.08024","-0.00942872596101835","-0.0630010673134239","-0.00396910104214155","0.0638262416170753","-0.0630010673134239"
"3","0.08025","0.000204396455116168","-0.0701912146005735","-0.00595913570484695","0.0704440180807669","-0.0701912146005735"
"3","0.08026","0.00856327753940985","-0.0673740301134286","-0.0107585662078364","0.068762899900968","-0.0673740301134286"
"3","0.08027","0.013019009952373","-0.0555826752377721","-0.0167850414475995","0.0595034958899498","-0.0555826752377721"
"3","0.08028","0.0121919834537788","-0.0386144240093267","-0.0221321153521161","0.0461470338382507","-0.0386144240093267"
"3","0.08029","0.00653449493861003","-0.0213882390525611","-0.0253866235395257","0.0338324851083958","-0.0213882390525611"
"3","0.0803","-0.00190693363549727","-0.00793672380759474","-0.026172991698542","0.0274162994428529","-0.00793672380759474"
"3","0.08031","-0.0104232428955474","1.70058826722786E-05","-0.025175255871602","0.0272477116444713","1.70058826722786E-05"
"3","0.08032","-0.0168029151017778","0.00328050617207073","-0.0236597334671197","0.0292041549166842","0.00328050617207073"
"3","0.08033","-0.020158427823867","0.00422616440439968","-0.0227730114682105","0.0307055814019914","0.00422616440439968"
"3","0.08034","-0.0210493765080458","0.00524636693156998","-0.0229894755295585","0.0316088057743774","0.00524636693156998"
"3","0.08035","-0.0209067771884313","0.00748323099470754","-0.0239815081833397","0.0326834027187264","0.00748323099470754"
